Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,424,38,12/01/2025,OKC,@,WAS,"W, 136-95",*,30:08:00,5,17,0.294,1,4,0.25,4,13,0.308,0.324,16,17,0.941,1,6,7,4,2,0,3,3,27,19.8,30
39,425,39,14/01/2025,OKC,@,PHI,"W, 118-102",*,33:11:00,12,15,0.8,1,3,0.333,11,12,0.917,0.833,7,8,0.875,1,2,3,9,2,1,4,4,32,30.6,15
40,426,40,16/01/2025,OKC,,CLE,"W, 134-114",*,29:14:00,17,26,0.654,1,5,0.2,16,21,0.762,0.673,5,5,1,0,3,3,8,2,0,2,1,40,34.7,32
40,,41,17/01/2025,OKC,@,DAL,"L, 98-106",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
41,427,42,19/01/2025,OKC,,BRK,"W, 127-101",*,28:53:00,8,14,0.571,1,4,0.25,7,10,0.7,0.607,10,10,1,1,2,3,10,4,1,2,1,27,31,27
42,428,43,22/01/2025,OKC,,UTA,"W, 123-114",*,37:28:00,17,35,0.486,3,10,0.3,14,25,0.56,0.529,17,18,0.944,3,5,8,5,3,2,3,3,54,43.2,9
43,429,44,23/01/2025,OKC,,DAL,"L, 115-121",*,39:48:00,12,25,0.48,1,3,0.333,11,22,0.5,0.5,6,6,1,1,0,1,7,0,0,3,4,31,19.3,-7
44,430,45,26/01/2025,OKC,@,POR,"W, 118-108",*,37:00:00,12,25,0.48,2,4,0.5,10,21,0.476,0.52,9,9,1,1,4,5,1,3,0,2,1,35,25.5,-4
45,431,46,29/01/2025,OKC,@,GSW,"L, 109-116",*,39:06:00,16,29,0.552,2,6,0.333,14,23,0.609,0.586,18,21,0.857,0,3,3,4,1,0,3,4,52,37,1
46,432,47,1/02/2025,OKC,,SAC,"W, 144-110",*,30:09:00,10,20,0.5,1,6,0.167,9,14,0.643,0.525,8,10,0.8,3,3,6,9,0,2,4,2,29,24.1,17
47,433,48,3/02/2025,OKC,,MIL,"W, 125-96",*,22:24:00,15,19,0.789,2,3,0.667,13,16,0.813,0.842,2,3,0.667,0,3,3,6,0,0,3,1,34,28,34
48,434,49,5/02/2025,OKC,,PHO,"W, 140-109",*,34:15:00,18,29,0.621,3,7,0.429,15,22,0.682,0.672,11,12,0.917,2,6,8,5,2,1,1,3,50,43.7,42
49,435,50,7/02/2025,OKC,,TOR,"W, 121-109",*,29:08:00,5,12,0.417,1,6,0.167,4,6,0.667,0.458,14,14,1,1,3,4,6,1,0,2,1,25,23,15
50,436,51,8/02/2025,OKC,@,MEM,"W, 125-112",*,33:54:00,8,26,0.308,3,5,0.6,5,21,0.238,0.365,13,16,0.813,0,0,0,8,0,2,0,5,32,20.8,18
51,437,52,10/02/2025,OKC,,NOP,"W, 137-101",*,30:33:00,10,20,0.5,4,9,0.444,6,11,0.545,0.6,7,8,0.875,0,1,1,2,3,1,1,1,31,24.6,12
52,438,53,12/02/2025,OKC,,MIA,"W, 115-101",*,38:12:00,11,22,0.5,4,9,0.444,7,13,0.538,0.591,6,9,0.667,1,4,5,9,2,0,1,4,32,27.4,19
53,439,54,13/02/2025,OKC,@,MIN,"L, 101-116",*,33:40:00,6,21,0.286,1,2,0.5,5,19,0.263,0.31,11,11,1,2,6,8,9,0,0,1,2,24,19.4,-12
54,440,55,21/02/2025,OKC,@,UTA,"W, 130-107",*,31:58:00,7,16,0.438,1,4,0.25,6,12,0.5,0.469,6,6,1,0,2,2,8,1,3,3,1,21,18.5,11
55,441,56,23/02/2025,OKC,@,MIN,"W, 130-123",*,38:07:00,13,24,0.542,3,6,0.5,10,18,0.556,0.604,8,11,0.727,0,8,8,8,3,3,5,3,37,31.1,16
56,442,57,24/02/2025,OKC,,MIN,"L, 128-131 (OT)",*,42:27:00,11,20,0.55,3,5,0.6,8,15,0.533,0.625,14,17,0.824,1,9,10,8,0,0,4,5,39,31.2,2
57,443,58,26/02/2025,OKC,@,BRK,"W, 129-121",*,33:30:00,7,11,0.636,1,2,0.5,6,9,0.667,0.682,12,13,0.923,2,4,6,5,2,0,3,2,27,26,-15
58,444,59,28/02/2025,OKC,@,ATL,"W, 135-119",*,34:25:00,12,23,0.522,3,7,0.429,9,16,0.563,0.587,4,4,1,0,3,3,5,2,0,1,0,31,25.1,23
59,445,60,2/03/2025,OKC,@,SAS,"W, 146-132",*,31:48:00,10,19,0.526,3,5,0.6,7,14,0.5,0.605,8,9,0.889,2,2,4,8,1,2,0,1,31,30.9,15
60,446,61,3/03/2025,OKC,,HOU,"W, 137-128",*,35:38:00,18,30,0.6,5,9,0.556,13,21,0.619,0.683,10,10,1,2,3,5,7,1,1,2,1,51,43.7,6
61,447,62,5/03/2025,OKC,@,MEM,"W, 120-103",*,34:43:00,14,25,0.56,3,5,0.6,11,20,0.55,0.62,10,10,1,0,2,2,8,2,0,4,5,41,31.3,19
61,,63,7/03/2025,OKC,,POR,"W, 107-89",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,
62,448,64,9/03/2025,OKC,,DEN,"W, 127-103",*,35:25:00,15,32,0.469,2,11,0.182,13,21,0.619,0.5,8,8,1,2,6,8,5,0,3,1,3,40,30.2,11
